"","Week","Anorganic.Material","Amphipoda.sp.","Polychaete","Copepoda.sp.","Cladocera.sp.","Unidentified.sp.","Harpacticoida.sp.","Cyclopoida.sp.","Other","Week_total"
"1",11,0.25,0,0,0,0,0.5,0,0,0.25,1
"2",12,0,0,0,0,0,0.833333333333333,0,0,0.166666666666667,1
"3",13,0.142857142857143,0,0.142857142857143,0,0,0.714285714285714,0,0,0,1
"4",14,0,0,0.111111111111111,0,0,0.555555555555556,0,0,0.333333333333333,1
"5",15,0.0188679245283019,0,0.0188679245283019,0,0,0.0754716981132075,0,0.886792452830189,0,1
"6",16,0.0103092783505155,0.134020618556701,0.0515463917525773,0.0618556701030928,0,0.0515463917525773,0.0412371134020619,0.618556701030928,0.0309278350515464,1
"7",17,0.00972447325769854,0,0.00972447325769854,0.126418152350081,0.0275526742301459,0.00810372771474878,0.00162074554294976,0.813614262560778,0.00324149108589951,1
"8",18,0.00934579439252336,0,0.0747663551401869,0,0.0186915887850467,0.0373831775700935,0.11214953271028,0.710280373831776,0.0373831775700935,1
"9",19,0.0123456790123457,0.0123456790123457,0.135802469135802,0.0246913580246914,0,0.0740740740740741,0.209876543209877,0.506172839506173,0.0246913580246914,1
"10",20,0.0526315789473684,0.131578947368421,0.210526315789474,0,0,0.223684210526316,0.276315789473684,0.0657894736842105,0.0394736842105263,1
"11",21,0.0167464114832536,0.0167464114832536,0.0358851674641148,0.0454545454545455,0.0334928229665072,0.0239234449760766,0.645933014354067,0.172248803827751,0.00956937799043062,1
